Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Irish Residential Properties,Update Members,2026-06-09 15:04:50.090000Z,183007M,Submitted,Active
MongoDB Limited,Update Members,2026-06-09 14:56:10.502000Z,175622M,Completed,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-09 14:30:32.894000Z,171116M,Completed,Active
Darwin,Update Members,2026-06-09 12:28:46.215000Z,147250M,Completed,Active
Etrawler Unlimited Company,Update Members,2026-06-09 12:07:28.114000Z,169792M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-09 11:28:18.633000Z,182813M,Received,Active
CIE Group,Update Members,2026-06-09 11:13:52.658000Z,182798M,Received,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-09 11:03:01.902000Z,182813M,Submitted,Active
CIE Group,Update Members,2026-06-09 10:52:31.882000Z,182798M,Submitted,Active
Etrawler Unlimited Company,Update Members,2026-06-09 08:45:52.869000Z,182714M,Received,Active
Etrawler Unlimited Company,Update Members,2026-06-09 08:30:15.136000Z,182714M,Submitted,Active
Caredoc,Update Members,2026-06-09 07:55:53.644000Z,175550M,Completed,Active
Caredoc,Update Members,2026-06-09 07:55:51.953000Z,175564M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-09 07:24:18.747000Z,175508M,Completed,Active
BearingPoint Ireland Limited,Update Members,2026-06-08 16:51:23.590000Z,182534M,Received,Active
BearingPoint Ireland Limited,Update Members,2026-06-08 16:33:02.675000Z,182534M,Submitted,Active
O Neill O Malley Ltd,Update Members,2026-06-08 15:40:55.843000Z,182477M,Received,Active
Mason Hayes and Curran,Update Members,2026-06-08 15:29:29.284000Z,169509M,Cancelled,Active
O Neill O Malley Ltd,Update Members,2026-06-08 15:14:46.006000Z,182477M,Submitted,Active
TransPerfect Translations Limited,Update Members,2026-06-08 15:07:02.452000Z,175297M,Completed,Active
TechnoPath Manufacturing Ltd,Update Members,2026-06-08 13:14:45.729000Z,177796M,Received,Active
TechnoPath Manufacturing Ltd,Update Members,2026-06-08 12:56:31.460000Z,177796M,Submitted,Active
Zendesk International Limited,Update Members,2026-06-08 12:15:49.904000Z,177764M,Received,Active
Zendesk International Limited,Update Members,2026-06-08 11:59:30.264000Z,177764M,Submitted,Active
